,Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing
0,KLCC,1250000.0,3.0,3.0,2.0,Serviced Residence,1335.0,Fully Furnished
1,DAMANSARA HEIGHTS,4072500.0,5.5,7.0,0.0,Bungalow,4477.5,Partly Furnished
2,DUTAMAS,1030000.0,3.0,4.0,2.0,Condominium,1875.0,Partly Furnished
4,BUKIT JALIL,900000.0,5.0,3.0,2.0,Condominium,1513.0,Partly Furnished
5,TAMAN TUN DR ISMAIL,4072500.0,5.5,5.0,4.0,Bungalow,4477.5,Partly Furnished
7,TAMAN TUN DR ISMAIL,2600000.0,5.0,4.0,4.0,Semi-detached House,3600.0,Partly Furnished
8,TAMAN TUN DR ISMAIL,1950000.0,5.0,4.0,3.0,2-sty Terrace/Link House,1875.0,Partly Furnished
9,SRI PETALING,385000.0,3.0,2.0,1.0,Apartment,904.0,Partly Furnished
11,TAMAN TUN DR ISMAIL,1680000.0,4.0,3.0,0.0,2-sty Terrace/Link House,1760.0,Partly Furnished
12,TAMAN TUN DR ISMAIL,1700000.0,4.0,3.0,0.0,2-sty Terrace/Link House,1900.0,Partly Furnished
13,TAMAN TUN DR ISMAIL,4072500.0,5.5,5.0,5.0,Bungalow,4477.5,Partly Furnished
15,TAMAN TUN DR ISMAIL,3100000.0,5.0,3.0,0.0,Semi-detached House,3600.0,Partly Furnished
16,BUKIT TUNKU (KENNY HILLS),4072500.0,5.5,7.0,4.0,Bungalow,4477.5,Partly Furnished
17,DAMANSARA HEIGHTS,4072500.0,5.5,7.0,0.0,Bungalow,4477.5,Partly Furnished
18,MONT KIARA,1780000.0,5.0,4.0,2.0,Condominium,1830.0,Partly Furnished
19,MONT KIARA,3450000.0,5.0,6.0,3.0,Condominium,3720.0,Fully Furnished
20,DESA PARKCITY,1500000.0,5.0,4.0,2.0,Condominium,1798.0,Partly Furnished
21,DAMANSARA HEIGHTS,1550000.0,1.5,1.0,1.0,Serviced Residence,904.0,Fully Furnished
22,MONT KIARA,1500000.0,4.0,4.0,3.0,Condominium,2163.0,Fully Furnished
23,MONT KIARA,1450000.0,4.0,4.0,0.0,Condominium,2163.0,Fully Furnished
24,BANGSAR SOUTH,490000.0,1.5,1.0,1.0,Serviced Residence,520.0,Fully Furnished
26,BUKIT JALIL,610000.0,4.0,2.0,2.0,Condominium,1236.0,Partly Furnished
28,DUTAMAS,1035880.0,4.0,4.0,1.0,Condominium,1876.0,Partly Furnished
29,MONT KIARA,1830000.0,3.0,4.0,0.0,Condominium,1668.0,Partly Furnished
31,AMPANG HILIR,3300000.0,5.0,4.0,4.0,Condominium,3536.0,Unfurnished
32,KEPONG,560000.0,3.0,2.0,0.0,2-sty Terrace/Link House,880.0,Partly Furnished
33,AMPANG HILIR,460000.0,1.5,1.0,1.0,Serviced Residence,613.0,Fully Furnished
35,KLCC,2400000.0,2.0,2.0,1.0,Serviced Residence,1006.0,Fully Furnished
36,MONT KIARA,2290710.0,5.0,4.0,0.0,Condominium,2767.0,Unfurnished
37,MONT KIARA,2284620.0,5.5,4.0,0.0,Condominium,2702.0,Unfurnished
39,JALAN KLANG LAMA (OLD KLANG ROAD),1438000.0,5.0,4.0,3.0,Condominium,2378.0,Partly Furnished
40,MONT KIARA,1720000.0,5.0,6.0,3.0,Condominium,2020.0,Partly Furnished
41,KLCC,3600000.0,4.0,4.0,0.0,Serviced Residence,3897.0,Partly Furnished
42,KLCC,4072500.0,4.0,4.0,2.0,Serviced Residence,2195.0,Fully Furnished
43,KLCC,2300000.0,1.5,2.0,1.0,Serviced Residence,1023.0,Partly Furnished
44,DAMANSARA HEIGHTS,4072500.0,5.5,5.0,5.0,Bungalow,4477.5,Partly Furnished
45,SUNGAI BESI,900000.0,5.5,5.0,3.0,3-sty Terrace/Link House,1600.0,Fully Furnished
46,KLCC,2700000.0,4.0,4.0,3.0,Serviced Residence,3095.0,Fully Furnished
47,MONT KIARA,1080000.0,2.0,2.0,1.0,Serviced Residence,896.0,Fully Furnished
48,MONT KIARA,1150000.0,3.0,2.0,2.0,Condominium,1200.0,Partly Furnished
49,BUKIT JALIL,1070000.0,5.0,4.0,4.0,Condominium,1772.0,Partly Furnished
50,BUKIT JALIL,930000.0,4.0,3.0,2.0,Condominium,1513.0,Partly Furnished
52,BANGSAR SOUTH,780000.0,2.0,2.0,1.0,Serviced Residence,880.0,Partly Furnished
53,KLCC,4072500.0,4.0,3.0,2.0,Serviced Residence,2066.0,Partly Furnished
55,KL CITY,1800000.0,2.0,2.0,1.0,Serviced Residence,1244.0,Fully Furnished
56,MONT KIARA,3600000.0,5.5,6.0,0.0,Condominium,4090.0,Fully Furnished
57,MONT KIARA,2300000.0,5.0,5.0,2.0,Condominium,2702.0,Partly Furnished
59,KLCC,4000000.0,4.0,3.0,2.0,Condominium,2250.0,Fully Furnished
60,AMPANG HILIR,4072500.0,5.0,6.0,3.0,Condominium,4300.0,Partly Furnished
61,AMPANG HILIR,3780000.0,5.0,5.0,4.0,Condominium,3628.0,Partly Furnished
63,BANGSAR SOUTH,850000.0,3.0,2.0,1.0,Serviced Residence,1050.0,Fully Furnished
64,MONT KIARA,1850000.0,4.0,4.0,0.0,Condominium,2347.0,Partly Furnished
65,KLCC,1698800.0,2.0,2.0,1.0,Serviced Residence,1227.0,Fully Furnished
66,SUNGAI BESI,999000.0,5.0,4.0,2.0,3-sty Terrace/Link House,2512.0,Partly Furnished
67,KL SENTRAL,3500000.0,1.5,1.0,1.0,Serviced Residence,1648.0,Partly Furnished
68,KLCC,1500000.0,2.0,2.0,1.0,Serviced Residence,1022.0,Fully Furnished
69,KLCC,2300000.0,1.5,2.0,1.0,Serviced Residence,1023.0,Partly Furnished
70,MONT KIARA,1830000.0,4.0,4.0,2.0,Condominium,1830.0,Partly Furnished
71,TAMAN MELAWATI,750000.0,4.0,3.0,3.0,2-sty Terrace/Link House,1800.0,Partly Furnished
72,SETAPAK,580000.0,5.0,2.0,2.0,Condominium,1550.0,Partly Furnished
73,KLCC,3000000.0,4.0,3.0,3.0,Serviced Residence,2066.0,Unfurnished
74,MONT KIARA,2180000.0,5.0,4.0,3.0,Condominium,3000.0,Partly Furnished
76,KLCC,2030000.0,4.0,5.0,2.0,Condominium,2356.0,Fully Furnished
77,MONT KIARA,3450000.0,5.0,6.0,3.0,Condominium,3720.0,Fully Furnished
79,CITY CENTRE,4072500.0,5.0,5.0,2.0,Condominium,3713.0,Partly Furnished
80,TAMAN TUN DR ISMAIL,2880000.0,5.0,3.0,4.0,2-sty Terrace/Link House,4244.0,Partly Furnished
81,KLCC,1799000.0,1.5,1.0,1.0,Serviced Residence,720.0,Fully Furnished
83,KLCC,1820000.0,3.0,2.0,2.0,Condominium,1159.0,Fully Furnished
84,KLCC,1000000.0,4.0,3.0,2.0,Serviced Residence,1313.0,Partly Furnished
85,KLCC,1650000.0,4.0,5.0,2.0,Condominium,1905.0,Fully Furnished
87,KLCC,2300000.0,1.5,1.0,2.0,Serviced Residence,1023.0,Partly Furnished
88,MONT KIARA,2400000.0,5.0,5.0,3.0,Condominium,2702.0,Partly Furnished
89,KLCC,2055000.0,2.0,1.0,1.0,Serviced Residence,797.0,Partly Furnished
90,KLCC,1714000.0,1.5,1.0,1.0,Serviced Residence,700.0,Partly Furnished
91,BUKIT JALIL,620000.0,3.0,2.0,0.0,Condominium,1232.0,Partly Furnished
92,BUKIT JALIL,1720000.0,5.5,7.0,0.0,2.5-sty Terrace/Link House,3033.0,Unfurnished
93,KLCC,2300000.0,4.0,4.0,3.0,Serviced Residence,3282.0,Partly Furnished
94,BUKIT JALIL,920000.0,5.0,3.0,2.0,Condominium,1513.0,Partly Furnished
95,KLCC,2300000.0,1.5,1.0,2.0,Serviced Residence,1046.0,Partly Furnished
96,TAMAN TUN DR ISMAIL,4072500.0,5.5,7.0,6.0,Bungalow,4477.5,Partly Furnished
97,TAMAN TUN DR ISMAIL,1630000.0,4.0,3.0,2.0,2-sty Terrace/Link House,1760.0,Partly Furnished
98,MONT KIARA,1850000.0,5.0,4.0,2.0,Condominium,1830.0,Partly Furnished
100,KLCC,1783000.0,2.0,2.0,1.0,Condominium,976.0,Partly Furnished
101,DUTAMAS,1180000.0,4.0,4.0,1.0,Condominium,1942.0,Partly Furnished
103,BUKIT JALIL,900000.0,5.0,3.0,2.0,Condominium,1513.0,Partly Furnished
104,CITY CENTRE,1700000.0,3.0,2.0,1.0,Serviced Residence,1442.0,Fully Furnished
105,KLCC,850000.0,1.5,2.0,0.0,Serviced Residence,761.0,Fully Furnished
107,DAMANSARA HEIGHTS,4072500.0,5.5,7.0,0.0,Bungalow,4477.5,Unfurnished
108,MONT KIARA,3100000.0,5.0,6.0,3.0,Condominium,3400.0,Fully Furnished
109,BUKIT JALIL,630000.0,2.0,2.0,2.0,Serviced Residence,791.0,Partly Furnished
111,KEPONG,2040000.0,5.5,5.0,4.0,2.5-sty Terrace/Link House,2400.0,Partly Furnished
112,KLCC,1780000.0,1.5,1.0,1.0,Serviced Residence,728.0,Fully Furnished
113,DESA PARKCITY,2850000.0,4.0,3.0,0.0,3-sty Terrace/Link House,3211.0,Partly Furnished
114,DESA PARKCITY,1050000.0,3.0,2.0,2.0,Condominium,1389.0,Partly Furnished
115,MONT KIARA,2600000.0,5.0,4.0,3.0,Condominium,3041.0,Partly Furnished
116,BANGSAR SOUTH,630000.0,2.0,1.0,1.0,Serviced Residence,663.0,Partly Furnished
117,KLCC,3364000.0,3.0,2.0,2.0,Serviced Residence,1399.0,Fully Furnished
118,BUKIT JALIL,978000.0,5.0,3.0,2.0,Condominium,1513.0,Partly Furnished
119,KLCC,3600000.0,4.0,5.0,2.0,Serviced Residence,3897.0,Partly Furnished
120,KLCC,3600000.0,4.0,5.0,2.0,Serviced Residence,3897.0,Partly Furnished
121,KLCC,2000000.0,1.5,1.0,1.0,Serviced Residence,1087.0,Fully Furnished
122,MONT KIARA,1630000.0,5.0,4.0,2.0,Condominium,2065.0,Partly Furnished
124,TAMAN TUN DR ISMAIL,1280000.0,4.0,3.0,3.0,2-sty Terrace/Link House,1875.0,Partly Furnished
125,KLCC,1250000.0,2.0,2.0,1.0,Condominium,736.0,Partly Furnished
127,BANGSAR SOUTH,630000.0,2.0,1.0,1.0,Serviced Residence,650.0,Fully Furnished
128,KLCC,1350000.0,2.0,2.0,1.0,Serviced Residence,1050.0,Fully Furnished
129,BANGSAR SOUTH,490000.0,1.5,1.0,1.0,Serviced Residence,500.0,Fully Furnished
131,BANGSAR SOUTH,800000.0,2.0,2.0,1.0,Serviced Residence,825.0,Partly Furnished
132,DESA PARKCITY,1980000.0,4.0,4.0,0.0,2-sty Terrace/Link House,2200.0,Partly Furnished
133,DUTAMAS,1035000.0,4.0,5.0,2.0,Condominium,1853.0,Unfurnished
135,KLCC,1000000.0,1.5,1.0,1.0,Condominium,657.0,Fully Furnished
136,SUNGAI BESI,448800.0,3.0,3.0,1.0,Serviced Residence,1045.0,Unfurnished
137,DAMANSARA HEIGHTS,4072500.0,5.5,6.0,0.0,Semi-detached House,3700.0,Fully Furnished
138,MONT KIARA,2480000.0,5.0,5.0,3.0,Condominium,3041.0,Partly Furnished
139,KL SENTRAL,2716000.0,4.0,4.0,2.0,Serviced Residence,2227.0,Partly Furnished
140,KL SENTRAL,1480000.0,4.0,3.0,0.0,Condominium,1544.0,Fully Furnished
141,COUNTRY HEIGHTS DAMANSARA,4072500.0,5.5,7.0,6.0,Bungalow,4477.5,Partly Furnished
142,KLCC,4072500.0,3.0,3.0,2.0,Condominium,2454.0,Unfurnished
143,TAMAN DESA,500000.0,2.0,2.0,1.0,Serviced Residence,715.0,Partly Furnished
144,DAMANSARA HEIGHTS,4072500.0,5.5,7.0,3.0,Bungalow,4477.5,Partly Furnished
145,DESA PARKCITY,3490000.0,5.0,5.0,0.0,3-sty Terrace/Link House,2850.0,Partly Furnished
146,DESA PARKCITY,2300000.0,4.0,3.0,2.0,2-sty Terrace/Link House,1826.0,Partly Furnished
148,KLCC,3600000.0,4.0,4.0,0.0,Serviced Residence,3897.0,Partly Furnished
149,MONT KIARA,2480000.0,5.0,5.0,3.0,Condominium,3041.0,Unfurnished
150,KLCC,3500000.0,3.0,3.0,1.0,Serviced Residence,1560.0,Fully Furnished
151,MONT KIARA,2200000.0,4.0,4.0,2.0,Condominium,2243.0,Unfurnished
152,TAMAN TUN DR ISMAIL,1380000.0,4.0,3.0,2.0,2-sty Terrace/Link House,1800.0,Fully Furnished
153,KLCC,3600000.0,4.0,4.0,2.0,Serviced Residence,3897.0,Fully Furnished
154,DESA PARKCITY,2500000.0,5.0,6.0,0.0,3-sty Terrace/Link House,1650.0,Partly Furnished
155,BUKIT JALIL,1060000.0,5.0,4.0,4.0,Condominium,1772.0,Partly Furnished
156,BUKIT JALIL,900000.0,5.0,3.0,3.0,Condominium,1513.0,Partly Furnished
157,KLCC,1850000.0,3.0,1.0,1.0,Condominium,2174.0,Partly Furnished
158,SENTUL,668000.0,4.0,3.0,3.0,Condominium,1345.0,Fully Furnished
159,KLCC,1050000.0,4.0,3.0,2.0,Serviced Residence,1313.0,Fully Furnished
160,JALAN KLANG LAMA (OLD KLANG ROAD),509000.0,2.0,2.0,1.0,Serviced Residence,797.0,Unfurnished
161,DESA PARKCITY,3170000.0,5.0,5.0,0.0,3-sty Terrace/Link House,4306.0,Partly Furnished
162,DESA PARKCITY,3400000.0,5.5,6.0,0.0,3-sty Terrace/Link House,4477.5,Unfurnished
163,KLCC,2998000.0,4.0,3.0,2.0,Condominium,3218.0,Partly Furnished
164,KLCC,2580000.0,4.0,3.0,2.0,Condominium,2809.0,Partly Furnished
166,DESA PARKCITY,1260000.0,3.0,3.0,0.0,Condominium,1485.0,Partly Furnished
168,DESA PARKCITY,1990000.0,4.0,4.0,0.0,2-sty Terrace/Link House,2500.0,Partly Furnished
169,KEPONG,920000.0,5.0,3.0,0.0,2-sty Terrace/Link House,1600.0,Partly Furnished
170,MONT KIARA,2100000.0,4.0,4.0,0.0,Condominium,2441.0,Fully Furnished
171,KLCC,1100000.0,2.0,2.0,1.0,Serviced Residence,880.0,Fully Furnished
172,KLCC,3600000.0,5.0,3.0,2.0,Serviced Residence,3897.0,Partly Furnished
173,KLCC,2900000.0,4.0,4.0,3.0,Condominium,2809.0,Fully Furnished
174,SENTUL,670000.0,3.0,2.0,2.0,Condominium,1085.0,Partly Furnished
175,CHERAS,820000.0,4.0,4.0,3.0,2-sty Terrace/Link House,1760.0,Unfurnished
176,DESA PARKCITY,1370000.0,4.0,3.0,0.0,Condominium,1572.0,Partly Furnished
177,DESA PARKCITY,3480000.0,5.0,5.0,0.0,3-sty Terrace/Link House,3450.0,Partly Furnished
178,DESA PARKCITY,1350000.0,2.0,2.0,2.0,Condominium,1292.0,Partly Furnished
179,KLCC,2300000.0,1.5,2.0,1.0,Serviced Residence,1023.0,Partly Furnished
180,KLCC,1900000.0,2.0,2.0,1.0,Condominium,915.0,Partly Furnished
181,KLCC,1450000.0,2.0,2.0,2.0,Serviced Residence,1090.0,Fully Furnished
182,KLCC,1000000.0,4.0,1.0,0.0,Condominium,657.0,Fully Furnished
183,KLCC,1300000.0,1.5,1.0,1.0,Serviced Residence,925.0,Partly Furnished
184,KLCC,3600000.0,3.0,4.0,2.0,Serviced Residence,3897.0,Partly Furnished
185,TAMAN TUN DR ISMAIL,1630000.0,4.0,3.0,2.0,2-sty Terrace/Link House,1760.0,Partly Furnished
186,DAMANSARA HEIGHTS,2100000.0,4.0,3.0,3.0,2-sty Terrace/Link House,1760.0,Unfurnished
187,TAMAN TUN DR ISMAIL,4072500.0,5.5,5.0,3.0,Bungalow,4477.5,Partly Furnished
188,BUKIT JALIL,1050000.0,5.0,4.0,4.0,Condominium,1772.0,Partly Furnished
189,BUKIT JALIL,1200000.0,5.5,4.0,4.0,Condominium,1930.0,Partly Furnished
190,BUKIT JALIL,900000.0,5.0,3.0,2.0,Condominium,1513.0,Partly Furnished
191,DAMANSARA HEIGHTS,2251800.0,3.0,4.0,2.0,Serviced Residence,1668.0,Partly Furnished
192,BUKIT JALIL,998000.0,5.5,5.0,4.0,3-sty Terrace/Link House,1650.0,Partly Furnished
193,MONT KIARA,1550000.0,4.0,4.0,2.0,Condominium,1496.0,Partly Furnished
194,SETAPAK,780000.0,3.0,3.0,2.0,Condominium,1368.0,Partly Furnished
195,DESA PARKCITY,1380000.0,2.0,2.0,2.0,Condominium,1292.0,Partly Furnished
196,DESA PARKCITY,1798000.0,4.0,3.0,2.0,3-sty Terrace/Link House,2200.0,Partly Furnished
197,KLCC,1300000.0,1.5,1.0,1.0,Serviced Residence,925.0,Unfurnished
198,KLCC,1268000.0,3.0,3.0,1.0,Condominium,1619.0,Fully Furnished
199,KLCC,2600000.0,4.0,4.0,3.0,Condominium,2809.0,Fully Furnished
200,KLCC,4072500.0,4.0,4.0,2.0,Serviced Residence,2195.0,Partly Furnished
201,KLCC,3330000.0,3.0,3.0,1.0,Serviced Residence,2789.0,Fully Furnished
202,KLCC,2600000.0,2.0,2.0,1.0,Serviced Residence,1184.0,Fully Furnished
203,KLCC,1950000.0,2.0,2.0,1.0,Serviced Residence,1076.0,Partly Furnished
204,TAMAN TUN DR ISMAIL,1050000.0,3.0,2.0,2.0,1-sty Terrace/Link House,1920.0,Unfurnished
205,SENTUL,900000.0,4.0,4.0,3.0,Condominium,1381.0,Unfurnished
207,KLCC,1400000.0,2.0,2.0,1.0,Serviced Residence,1050.0,Fully Furnished
208,KEPONG,850000.0,4.0,3.0,2.0,2-sty Terrace/Link House,1760.0,Partly Furnished
209,DAMANSARA HEIGHTS,4072500.0,5.5,5.0,4.0,Bungalow,4477.5,Partly Furnished
210,MONT KIARA,1800000.0,4.0,4.0,2.0,Condominium,1830.0,Partly Furnished
211,BANGSAR,3800000.0,5.0,5.0,4.0,Bungalow,4067.0,Partly Furnished
212,BANGSAR SOUTH,350000.0,1.5,1.0,1.0,Apartment,495.0,Unfurnished
213,KLCC,3600000.0,5.0,5.0,2.0,Serviced Residence,3897.0,Unfurnished
214,TAMAN TUN DR ISMAIL,1790000.0,4.0,3.0,0.0,2-sty Terrace/Link House,2090.0,Partly Furnished
215,SEGAMBUT,635000.0,4.0,4.0,2.0,Condominium,1643.0,Partly Furnished
216,TAMAN DESA,530000.0,2.0,2.0,0.0,Serviced Residence,715.0,Unfurnished
217,KLCC,4072500.0,4.0,4.0,3.0,Serviced Residence,2142.0,Partly Furnished
218,KL CITY,1207000.0,4.0,1.0,1.0,Serviced Residence,685.0,Partly Furnished
219,KL CITY,1177000.0,2.0,1.0,1.0,Serviced Residence,717.0,Partly Furnished
222,WANGSA MAJU,700000.0,3.0,2.0,2.0,Condominium,1152.0,Partly Furnished
223,AMPANG HILIR,3710000.0,5.0,5.0,0.0,Condominium,3369.0,Partly Furnished
224,MONT KIARA,1900000.0,4.0,4.0,0.0,Condominium,2411.0,Fully Furnished
225,MONT KIARA,3785400.0,5.5,5.0,3.0,Condominium,3907.0,Partly Furnished
226,KLCC,1300000.0,2.0,2.0,2.0,Condominium,871.0,Fully Furnished
227,SENTUL,960000.0,4.0,4.0,2.0,Condominium,1488.0,Unfurnished
228,KL CITY,490000.0,4.0,2.0,2.0,Condominium,1065.0,Unfurnished
229,MONT KIARA,4072500.0,5.5,5.0,3.0,Condominium,3709.0,Partly Furnished
230,KLCC,1450000.0,2.0,1.0,1.0,Serviced Residence,1050.0,Fully Furnished
231,DESA PARKCITY,2380000.0,5.0,4.0,3.0,Condominium,2454.0,Fully Furnished
232,DESA PARKCITY,1350000.0,4.0,3.0,2.0,Condominium,1389.0,Unfurnished
233,KLCC,1800000.0,5.0,5.0,0.0,Condominium,2315.0,Unfurnished
234,BUKIT JALIL,1210000.0,5.5,6.0,4.0,3-sty Terrace/Link House,3400.0,Partly Furnished
235,TAMAN TUN DR ISMAIL,4072500.0,5.5,7.0,6.0,Bungalow,4477.5,Partly Furnished
236,MONT KIARA,1900000.0,5.0,4.0,2.0,Condominium,1830.0,Partly Furnished
237,KLCC,2700000.0,2.0,2.0,2.0,Serviced Residence,1195.0,Partly Furnished
238,KLCC,4072500.0,4.0,4.0,2.0,Serviced Residence,2195.0,Partly Furnished
240,KLCC,1900000.0,3.0,2.0,1.0,Condominium,915.0,Fully Furnished
241,KLCC,3000000.0,5.0,5.0,3.0,Condominium,3218.0,Partly Furnished
242,SETAPAK,240000.0,3.0,2.0,1.0,Condominium,850.0,Unfurnished
243,KLCC,1300000.0,2.0,2.0,0.0,Condominium,871.0,Fully Furnished
244,KLCC,1000000.0,1.5,1.0,1.0,Condominium,751.0,Partly Furnished
245,KLCC,1000000.0,1.5,1.0,1.0,Condominium,751.0,Partly Furnished
246,KLCC,2000000.0,3.0,2.0,1.0,Serviced Residence,1350.0,Fully Furnished
247,KLCC,4072500.0,4.0,4.0,2.0,Serviced Residence,2195.0,Partly Furnished
248,MONT KIARA,2480000.0,5.0,6.0,0.0,Condominium,2702.0,Partly Furnished
249,BATU CAVES,676775.0,4.0,3.0,4.0,Serviced Residence,1265.0,Partly Furnished
250,MONT KIARA,2280000.0,5.0,5.0,0.0,Condominium,2702.0,Partly Furnished
251,MONT KIARA,1830000.0,5.0,4.0,2.0,Condominium,1830.0,Partly Furnished
252,CITY CENTRE,1750000.0,3.0,3.0,1.0,Serviced Residence,1442.0,Partly Furnished
253,DESA PARKCITY,1780000.0,4.0,3.0,2.0,2-sty Terrace/Link House,2400.0,Fully Furnished
254,KEPONG,3380000.0,5.0,4.0,0.0,Semi-detached House,4050.0,Partly Furnished
255,BUKIT JALIL,1200000.0,5.5,4.0,4.0,Condominium,1930.0,Partly Furnished
256,KLCC,2300000.0,1.5,2.0,1.0,Serviced Residence,1046.0,Partly Furnished
257,KLCC,2300000.0,1.5,1.0,2.0,Serviced Residence,1046.0,Partly Furnished
258,MONT KIARA,1600000.0,4.0,3.0,2.0,Condominium,1878.0,Partly Furnished
259,MONT KIARA,1291000.0,5.5,4.0,3.0,Condominium,2069.0,Partly Furnished
260,KLCC,880000.0,1.5,1.0,1.0,Serviced Residence,710.0,Fully Furnished
261,JALAN KLANG LAMA (OLD KLANG ROAD),655000.0,4.0,2.0,2.0,Serviced Residence,1094.0,Partly Furnished
262,MONT KIARA,2150000.0,4.0,5.0,3.0,Condominium,2700.0,Unfurnished
263,MONT KIARA,1400000.0,4.0,4.0,2.0,Condominium,1496.0,Partly Furnished
264,KLCC,4072500.0,5.0,6.0,2.0,Serviced Residence,2975.0,Fully Furnished
265,MONT KIARA,1100000.0,3.0,2.0,2.0,Condominium,1200.0,Partly Furnished
266,KLCC,1238000.0,2.0,2.0,1.0,Condominium,736.0,Partly Furnished
267,BANGSAR SOUTH,750000.0,2.0,2.0,1.0,Serviced Residence,823.0,Partly Furnished
268,DAMANSARA HEIGHTS,2100000.0,4.0,4.0,2.0,Condominium,2153.0,Partly Furnished
269,BUKIT JALIL,900000.0,5.0,4.0,0.0,Condominium,1513.0,Unfurnished
270,MONT KIARA,1500000.0,3.0,2.0,2.0,Condominium,1200.0,Fully Furnished
271,MONT KIARA,2300000.0,5.0,6.0,3.0,Condominium,2702.0,Partly Furnished
272,KLCC,1000000.0,3.0,2.0,0.0,Serviced Residence,777.0,Partly Furnished
273,KLCC,990000.0,4.0,3.0,2.0,Serviced Residence,1313.0,Fully Furnished
274,KLCC,3960000.0,4.0,4.0,2.0,Serviced Residence,2195.0,Partly Furnished
275,KLCC,2700000.0,2.0,2.0,2.0,Serviced Residence,1184.0,Fully Furnished
276,KLCC,1900000.0,2.0,2.0,1.0,Serviced Residence,1087.0,Fully Furnished
278,KLCC,2050000.0,4.0,5.0,2.0,Condominium,2356.0,Fully Furnished
279,BANGSAR SOUTH,1121800.0,3.0,2.0,1.0,Serviced Residence,1200.0,Fully Furnished
280,KLCC,1506300.0,2.0,1.0,1.0,Serviced Residence,1020.0,Fully Furnished
281,BANGSAR,1530000.0,4.0,3.0,2.0,Condominium,2095.0,Fully Furnished
282,AMPANG,3680000.0,5.5,8.0,4.0,Bungalow,4477.5,Unfurnished
283,KLCC,3600000.0,4.0,5.0,2.0,Serviced Residence,3897.0,Partly Furnished
284,MONT KIARA,2300000.0,5.0,5.0,0.0,Condominium,2906.0,Partly Furnished
285,SRI HARTAMAS,4072500.0,5.5,6.0,4.0,Bungalow,4477.5,Fully Furnished
286,DESA PARKCITY,1480000.0,5.0,4.0,2.0,Condominium,1917.0,Partly Furnished
287,BANGSAR SOUTH,1050000.0,3.0,2.0,2.0,Condominium,1485.0,Fully Furnished
289,KLCC,1200019.0,2.0,2.0,1.0,Condominium,577.0,Partly Furnished
290,CHERAS,780000.0,5.0,4.0,0.0,Bungalow,4477.5,Unfurnished
292,KLCC,1999000.0,2.0,2.0,1.0,Serviced Residence,1271.0,Unfurnished
293,MONT KIARA,1820000.0,5.0,4.0,2.0,Condominium,1830.0,Partly Furnished
294,AMPANG HILIR,3700000.0,5.0,5.0,2.0,Condominium,3628.0,Unfurnished
295,MONT KIARA,1420000.0,4.0,4.0,2.0,Condominium,1499.0,Partly Furnished
296,MONT KIARA,1830000.0,5.0,4.0,2.0,Condominium,1832.0,Partly Furnished
298,KLCC,1680000.0,4.0,2.0,3.0,Condominium,1159.0,Fully Furnished
299,KLCC,2210000.0,3.0,3.0,2.0,Condominium,1502.0,Fully Furnished
300,KLCC,1420000.0,2.0,2.0,1.0,Condominium,976.0,Fully Furnished
301,KLCC,3600000.0,5.0,5.0,2.0,Serviced Residence,3897.0,Partly Furnished
302,KLCC,1238000.0,2.0,2.0,1.0,Condominium,736.0,Partly Furnished
303,MONT KIARA,2230000.0,4.0,2.0,3.0,Condominium,2973.0,Unfurnished
305,KLCC,1139000.0,1.5,1.0,1.0,Condominium,751.0,Partly Furnished
306,KLCC,2930000.0,2.0,2.0,2.0,Serviced Residence,1114.0,Fully Furnished
307,DESA PARKCITY,1580000.0,3.0,3.0,0.0,3-sty Terrace/Link House,1900.0,Partly Furnished
308,DAMANSARA HEIGHTS,1620000.0,2.0,2.0,1.0,Serviced Residence,1194.0,Partly Furnished
309,DESA PARKCITY,1300000.0,3.0,3.0,2.0,Condominium,1367.0,Partly Furnished
310,COUNTRY HEIGHTS DAMANSARA,4072500.0,5.5,7.0,6.0,Bungalow,4477.5,Partly Furnished
311,DAMANSARA HEIGHTS,4072500.0,5.5,4.0,6.0,Bungalow,4477.5,Partly Furnished
312,DESA PARKCITY,2750000.0,4.0,4.0,0.0,2-sty Terrace/Link House,1958.0,Partly Furnished
313,DESA PARKCITY,2050000.0,4.0,4.0,0.0,2-sty Terrace/Link House,1650.0,Partly Furnished
314,DESA PARKCITY,1200000.0,2.0,2.0,0.0,Townhouse,1400.0,Partly Furnished
315,BANGSAR,1600000.0,3.0,2.0,2.0,Townhouse,2400.0,Partly Furnished
316,DESA PARKCITY,1730000.0,4.0,3.0,2.0,Condominium,1690.0,Fully Furnished
317,DESA PARKCITY,1500000.0,4.0,2.0,2.0,Condominium,1346.0,Fully Furnished
318,DESA PARKCITY,2800000.0,4.0,4.0,0.0,3-sty Terrace/Link House,1302.0,Partly Furnished
319,DESA PARKCITY,3280000.0,5.0,4.0,0.0,Bungalow,3200.0,Partly Furnished
320,DESA PARKCITY,1500000.0,4.0,3.0,2.0,Condominium,1400.0,Partly Furnished
322,DESA PARKCITY,1180000.0,3.0,3.0,2.0,Condominium,1507.0,Partly Furnished
323,DESA PARKCITY,2300000.0,4.0,3.0,0.0,2-sty Terrace/Link House,1826.0,Partly Furnished
324,DESA PARKCITY,1990000.0,4.0,3.0,0.0,2-sty Terrace/Link House,1650.0,Partly Furnished
325,DESA PARKCITY,1950000.0,4.0,3.0,0.0,2-sty Terrace/Link House,2300.0,Fully Furnished
