,Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing
33300,BUKIT JALIL,440000.0,3.0,2.0,1.0,Condominium,1091.0,Fully Furnished
33301,KLCC,1000000.0,1.5,1.0,1.0,Condominium,751.0,Partly Furnished
33302,JALAN KLANG LAMA (OLD KLANG ROAD),350000.0,3.0,2.0,1.0,Serviced Residence,950.0,Partly Furnished
33303,SENTUL,525000.0,3.0,2.0,2.0,Serviced Residence,948.0,Partly Furnished
33305,KLCC,2000000.0,3.0,3.0,2.0,Serviced Residence,1485.0,Unfurnished
33306,KLCC,3909600.0,3.0,3.0,2.0,Serviced Residence,1604.0,Partly Furnished
33307,KLCC,3500000.0,3.0,3.0,2.0,Serviced Residence,1560.0,Fully Furnished
33308,JALAN KLANG LAMA (OLD KLANG ROAD),330000.0,3.0,2.0,0.0,Serviced Residence,950.0,Partly Furnished
33309,BANGSAR,600000.0,3.0,2.0,2.0,Condominium,1180.0,Fully Furnished
33310,CHERAS,628000.0,4.0,3.0,2.0,2-sty Terrace/Link House,1300.0,Partly Furnished
33312,BUKIT TUNKU (KENNY HILLS),4072500.0,5.5,7.0,0.0,Bungalow,4477.5,Partly Furnished
33313,SRI HARTAMAS,3980000.0,5.5,5.0,2.0,Bungalow,4477.5,Unfurnished
33314,DAMANSARA HEIGHTS,4072500.0,5.5,6.0,3.0,Bungalow,2700.0,Unfurnished
33315,BUKIT TUNKU (KENNY HILLS),1150000.0,3.0,3.0,0.0,Condominium,1608.0,Partly Furnished
33316,CITY CENTRE,3000000.0,4.0,3.0,0.0,Condominium,3700.0,Fully Furnished
33317,BUKIT TUNKU (KENNY HILLS),1480000.0,4.0,2.0,2.0,Condominium,2500.0,Fully Furnished
33318,BUKIT TUNKU (KENNY HILLS),1200000.0,4.0,3.0,0.0,Condominium,2250.0,Partly Furnished
33319,BUKIT TUNKU (KENNY HILLS),2350000.0,4.0,2.0,3.0,Condominium,2939.0,Partly Furnished
33320,BUKIT TUNKU (KENNY HILLS),1300000.0,4.0,2.0,0.0,Condominium,1790.0,Partly Furnished
33322,KLCC,4072500.0,4.0,4.0,2.0,Serviced Residence,2195.0,Unfurnished
33323,BUKIT TUNKU (KENNY HILLS),1280000.0,4.0,2.0,2.0,Condominium,1860.0,Unfurnished
33324,BUKIT TUNKU (KENNY HILLS),1380000.0,4.0,2.0,0.0,Condominium,1999.0,Fully Furnished
